x,y,z
-0.495511,0.741206,0.687982
-0.217036,-0.40506,0.449481
-0.154213,-0.40287,0.398425
-0.403762,-1.04139,0.599608
-0.410731,-1.06947,0.6052
-0.393156,-1.04854,0.590969
-0.493361,-1.45079,0.671376
-0.521847,-1.566,0.694232
-0.528311,-1.74423,0.699027
-0.523278,-1.75011,0.694921
-0.521534,-1.81233,0.693343
-0.526885,-1.87826,0.697523
-0.526245,-1.90102,0.696943
-0.527784,-2.1295,0.697606
-0.402328,-2.16857,0.595537
-0.361414,-2.20073,0.562201
-0.289772,-2.24292,0.503862
0.553481,-1.01722,-0.178355
0.544904,-0.972805,-0.17127
0.534061,-0.943594,-0.162381
0.480154,-0.820201,-0.118249
0.464365,-0.78438,-0.105324
0.446064,-0.74471,-0.090347
0.351157,-0.503286,-0.012587
0.354558,-0.499609,-0.015341
0.38658,-0.399803,-0.041111
0.453988,-0.411246,-0.095928
0.500345,-0.41168,-0.133607
0.555946,-0.442839,-0.178878
0.517499,0.329686,-0.145638
0.492361,0.360962,-0.125126
0.56916,1.19778,-0.18539
0.424281,0.933207,-0.068318
0.361407,0.793883,-0.017574
0.279532,0.682589,0.048685
0.154475,1.20402,0.151673
-0.204899,1.20004,0.443753
-0.208961,1.19871,0.447052
-0.256019,1.21298,0.485335
-0.501168,1.24095,0.684659
-0.500762,1.17816,0.684167
-0.500896,1.02769,0.683889
-0.501011,0.748605,0.683263
-0.49247,0.69876,0.676193
-0.159811,-0.398936,0.399731
-0.41262,-1.06416,0.599076
-0.432514,-1.12426,0.614744
-0.199533,-0.617403,0.430762
-0.349664,-2.20302,0.546101
-0.288682,-2.1605,0.497714
0.151238,-0.391386,0.15239
0.59088,-1.09103,-0.199021
0.594604,-1.08786,-0.201975
0.550014,-0.930386,-0.166112
0.464429,-0.750366,-0.097591
0.465579,-0.745516,-0.098493
0.44447,-0.690672,-0.081566
0.408573,-0.57741,-0.05273
0.404795,-0.405889,-0.049287
0.650683,-0.414993,-0.244852
0.650872,-0.065749,-0.244109
0.477964,0.303999,-0.10566
0.566408,0.41915,-0.175701
0.593029,0.818384,-0.19585
0.650367,1.02026,-0.240933
0.651183,1.07855,-0.241432
0.650165,1.10675,-0.240551
0.654623,1.15664,-0.243969
0.651616,1.20638,-0.24145
0.656599,1.25121,-0.245299
0.404285,0.870595,-0.045619
0.219778,0.60363,0.100427
0.24672,0.783261,0.07946
-0.151083,1.16993,0.3968
-0.402447,1.27672,0.596968
-0.162638,-0.453286,0.398641
-0.483377,-1.41364,0.645816
-0.486492,-1.45574,0.648134
-0.356708,-2.17846,0.5453
-0.1682,-2.22785,0.398473
-0.101265,-2.27555,0.346261
0.604387,-1.10853,-0.199942
0.609954,-1.10864,-0.204275
0.6158,-1.09882,-0.2088
0.535732,-0.881778,-0.145938
0.509695,-0.829132,-0.125542
0.651739,-0.452964,-0.235131
0.656181,-0.393498,-0.238438
0.66172,-0.349914,-0.242638
0.656424,-0.29431,-0.238376
0.654958,-0.247032,-0.237115
0.657398,-0.199004,-0.238892
0.652678,-0.146669,-0.235086
0.650578,-0.044382,-0.233193
0.656609,0.052969,-0.237639
0.651374,0.101409,-0.233443
0.656237,0.152224,-0.237099
0.652378,0.202176,-0.233969
0.65819,0.253174,-0.238362
0.65476,0.302434,-0.235568
0.65591,0.351774,-0.236338
0.651849,0.400263,-0.233055
0.652906,0.49206,-0.233645
0.654177,0.502708,-0.234607
0.658328,0.551128,-0.237715
0.658979,0.604804,-0.238085
0.654662,0.65701,-0.234593
0.658158,0.702784,-0.237199
0.660887,0.757025,-0.239184
0.660806,0.804563,-0.239001
0.566911,0.748095,-0.166072
0.659721,0.948516,-0.237792
0.658992,0.955838,-0.237206
0.610604,1.25679,-0.198786
0.543463,1.1465,-0.146814
0.350832,0.749898,0.002092
0.291032,0.96038,0.049163
-0.384633,-0.999627,0.563184
-0.398843,-1.05678,0.573862
-0.305372,-2.18134,0.499855
0.007946,-0.450495,0.265608
0.029378,-0.401961,0.24941
0.158845,-0.40546,0.150809
0.603776,-1.08869,-0.189733
0.607055,-1.0447,-0.19212
0.50121,-0.786809,-0.110868
0.418634,-0.56869,-0.047436
0.42298,0.268735,-0.048641
0.507983,0.371936,-0.113113
0.553615,0.750185,-0.146912
0.608919,0.866036,-0.188736
0.607912,1.22948,-0.187055
0.552405,1.13469,-0.145023
0.528548,1.09425,-0.126957
0.293321,0.712953,0.051214
0.324004,0.975861,0.028509
0.26415,0.811751,0.073677
0.249493,0.816185,0.084849
0.288185,0.970841,0.055774
-0.021589,1.25151,0.292378
-0.353779,1.27727,0.545413
-0.500668,0.878016,0.656268
-0.491009,0.794827,0.648703
-0.488494,0.72395,0.64661
-0.490546,0.683555,0.648071
-0.303773,-0.406513,0.497657
-0.512466,-2.18755,0.648683
0.229392,-0.404072,0.100478
0.688028,-1.22637,-0.243237
0.570627,-0.895005,-0.154952
0.341751,-0.505615,0.016522
0.48233,-0.698086,-0.088683
0.453391,-0.642362,-0.066985
0.550544,-0.40915,-0.138779
0.466785,0.296224,-0.074623
0.684629,0.851574,-0.235523
0.632203,0.804669,-0.196584
0.548512,0.750653,-0.134373
0.566833,0.804835,-0.147886
0.595324,0.854697,-0.168986
0.416954,0.845594,-0.036131
0.231228,0.651477,0.101743
0.387504,1.19075,-0.013331
0.28172,0.889641,0.064723
0.300023,1.02254,0.051419
0.30172,1.28396,0.050807
-0.163295,1.21312,0.397046
-0.501073,1.19713,0.648637
-0.495507,1.13687,0.64434
-0.500296,1.10214,0.647821
-0.497138,1.0847,0.645425
-0.500932,1.08184,0.648244
-0.49952,1.04771,0.647107
-0.498417,0.996376,0.646158
-0.501025,0.964151,0.64802
-0.49503,0.926806,0.643461
